topology,workload,routing_mode,offered_volume_gb,link_count,link_ratio_pct
Clos,A2A,ECMP,0.286,576,66.66666666666666
Clos,A2A,ECMP,0.544,288,33.33333333333333
Clos,Sparse 1-to-N,ECMP,0.0005,8,1.7699115044247788
Clos,Sparse 1-to-N,ECMP,0.001,72,15.929203539823009
Clos,Sparse 1-to-N,ECMP,0.0015,16,3.5398230088495577
Clos,Sparse 1-to-N,ECMP,0.002,174,38.49557522123894
Clos,Sparse 1-to-N,ECMP,0.0025,16,3.5398230088495577
Clos,Sparse 1-to-N,ECMP,0.003,24,5.3097345132743365
Clos,Sparse 1-to-N,ECMP,0.0035,24,5.3097345132743365
Clos,Sparse 1-to-N,ECMP,0.004,112,24.778761061946902
Clos,Sparse 1-to-N,ECMP,0.006,6,1.3274336283185841
Clos-64,A2A,ECMP,0.126,256,66.66666666666666
Clos-64,A2A,ECMP,0.224,128,33.33333333333333
Clos-64,Sparse 1-to-N,ECMP,0.001,24,11.650485436893204
Clos-64,Sparse 1-to-N,ECMP,0.0015,16,7.766990291262135
Clos-64,Sparse 1-to-N,ECMP,0.002,84,40.77669902912621
Clos-64,Sparse 1-to-N,ECMP,0.0025,16,7.766990291262135
Clos-64,Sparse 1-to-N,ECMP,0.003,16,7.766990291262135
Clos-64,Sparse 1-to-N,ECMP,0.004,50,24.271844660194176
Clos-128,A2A,ECMP,0.254,512,66.66666666666666
Clos-128,A2A,ECMP,0.48,256,33.33333333333333
Clos-128,Sparse 1-to-N,ECMP,0.0005,8,2.030456852791878
Clos-128,Sparse 1-to-N,ECMP,0.001,48,12.18274111675127
Clos-128,Sparse 1-to-N,ECMP,0.0015,72,18.274111675126903
Clos-128,Sparse 1-to-N,ECMP,0.002,104,26.39593908629442
Clos-128,Sparse 1-to-N,ECMP,0.0025,8,2.030456852791878
Clos-128,Sparse 1-to-N,ECMP,0.003,32,8.121827411167512
Clos-128,Sparse 1-to-N,ECMP,0.0035,8,2.030456852791878
Clos-128,Sparse 1-to-N,ECMP,0.004,94,23.85786802030457
Clos-128,Sparse 1-to-N,ECMP,0.0045,16,4.060913705583756
Clos-128,Sparse 1-to-N,ECMP,0.006,4,1.015228426395939
Clos-192,A2A,ECMP,0.382,768,66.66666666666666
Clos-192,A2A,ECMP,0.736,384,33.33333333333333
Clos-192,Sparse 1-to-N,ECMP,0.0005,8,1.3289036544850499
Clos-192,Sparse 1-to-N,ECMP,0.001,48,7.973421926910299
Clos-192,Sparse 1-to-N,ECMP,0.0015,56,9.30232558139535
Clos-192,Sparse 1-to-N,ECMP,0.002,232,38.53820598006645
Clos-192,Sparse 1-to-N,ECMP,0.0025,16,2.6578073089700998
Clos-192,Sparse 1-to-N,ECMP,0.003,72,11.960132890365449
Clos-192,Sparse 1-to-N,ECMP,0.0035,16,2.6578073089700998
Clos-192,Sparse 1-to-N,ECMP,0.004,150,24.916943521594686
Clos-192,Sparse 1-to-N,ECMP,0.006,4,0.6644518272425249
Clos-256,A2A,ECMP,0.51,1024,66.66666666666666
Clos-256,A2A,ECMP,0.992,512,33.33333333333333
Clos-256,Sparse 1-to-N,ECMP,0.0005,16,1.9656019656019657
Clos-256,Sparse 1-to-N,ECMP,0.001,96,11.793611793611793
Clos-256,Sparse 1-to-N,ECMP,0.0015,48,5.896805896805897
Clos-256,Sparse 1-to-N,ECMP,0.002,310,38.08353808353808
Clos-256,Sparse 1-to-N,ECMP,0.0025,40,4.914004914004914
Clos-256,Sparse 1-to-N,ECMP,0.003,80,9.828009828009828
Clos-256,Sparse 1-to-N,ECMP,0.0035,24,2.9484029484029484
Clos-256,Sparse 1-to-N,ECMP,0.004,192,23.587223587223587
Clos-256,Sparse 1-to-N,ECMP,0.006,6,0.7371007371007371
Clos-256,Sparse 1-to-N,ECMP,0.008,2,0.2457002457002457
Clos-4P-FullMesh,A2A,ECMP,0.128,768,13.043478260869565
Clos-4P-FullMesh,A2A,ECMP,2.046,4096,69.56521739130434
Clos-4P-FullMesh,A2A,ECMP,7.936,1024,17.391304347826086
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.001,48,2.1015761821366024
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.002,826,36.1646234676007
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.003,104,4.553415061295972
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.004,936,40.98073555166375
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.005,60,2.626970227670753
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.006,198,8.669001751313484
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.007,28,1.2259194395796849
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.008,62,2.714535901926445
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.009,16,0.7005253940455342
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.01,4,0.17513134851138354
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,0.012,2,0.08756567425569177
